\cite{gook}
Mass (A):  TKE (MeV): Average Neutron Multiplicity :	 Uncertainty
105.       167.        2.75115    0.0795048
105.       169.        2.62312    0.0661633
105.       171.        2.51739    0.056087
105.       173.        2.26087    0.0465434
105.       175.        2.19789    0.0415575
105.       177.        2.11384    0.0370882
105.       179.        1.89514    0.0322569
105.       181.        1.72221    0.0292266
105.       183.        1.54783    0.0266387
105.       185.        1.46527    0.0263265
105.       187.        1.21504    0.0239644
105.       189.        1.1141     0.0244926
105.       191.        0.969067   0.0252232
105.       193.        0.764951   0.0249274
105.       195.        0.605993   0.0260846
105.       197.        0.473251   0.0284393
105.       199.        0.263397   0.0263657
105.       201.        0.154777   0.0286371
106.       145.        1.62198    0.998257
106.       147.        1.2283     0.575114
106.       149.        2.90028    0.727612
106.       151.        3.07069    0.550411
106.       153.        2.91425    0.405557
106.       155.        2.44513    0.274438
106.       157.        3.22629    0.264495
106.       159.        3.06087    0.202341
106.       161.        3.08332    0.157169
106.       163.        2.99115    0.127556
106.       165.        2.93634    0.102316
106.       167.        2.96114    0.0863661
106.       169.        2.69686    0.0671448
106.       171.        2.70447    0.0595726
106.       173.        2.55058    0.0503815
106.       175.        2.38907    0.0432134
106.       177.        2.22461    0.0374896
106.       179.        2.01888    0.0328467
106.       181.        1.93847    0.030388
106.       183.        1.81387    0.0281276
106.       185.        1.59302    0.0259386
106.       187.        1.43196    0.024774
106.       189.        1.24352    0.023471
106.       191.        1.09597    0.0236995
106.       193.        0.995163   0.0256309
106.       195.        0.797579   0.0262856
106.       197.        0.648896   0.0284693
106.       199.        0.412887   0.027354
106.       201.        0.259855   0.0299433
106.       203.        0.124917   0.0282988
106.       205.        0.0343038  0.0198369
107.       145.        1.65648    1.02559
107.       147.        1.69019    0.903444
107.       149.        2.72488    0.816342
107.       151.        3.71411    0.670506
107.       153.        3.4574     0.501305
107.       155.        2.84846    0.326275
107.       157.        3.35704    0.29171
107.       159.        3.01314    0.206744
107.       161.        3.4894     0.182583
107.       163.        3.385      0.143364
107.       165.        3.03399    0.107159
107.       167.        3.03442    0.08912
107.       169.        2.92       0.0743803
107.       171.        2.75467    0.0624378
107.       173.        2.77831    0.0544827
107.       175.        2.63348    0.0463541
107.       177.        2.3973     0.039112
107.       179.        2.25826    0.0347128
107.       181.        2.18029    0.0321806
107.       183.        1.9903     0.0291348
107.       185.        1.78889    0.0266769
107.       187.        1.63069    0.0256692
107.       189.        1.50579    0.025244
107.       191.        1.23883    0.024025
107.       193.        1.08692    0.0246469
107.       195.        0.94836    0.0264671
107.       197.        0.792296   0.0285778
107.       199.        0.66388    0.0321004
107.       201.        0.406171   0.0321334
107.       203.        0.227315   0.0324396
107.       205.        0.149947   0.0401369
107.       207.        0.117714   0.0681545
108.       147.        2.25649    1.38877
108.       149.        2.44761    0.904
108.       151.        2.65083    0.584858
108.       153.        3.6128     0.583605
108.       155.        3.84716    0.435575
108.       157.        3.77221    0.327403
108.       159.        3.24451    0.235725
108.       161.        3.17351    0.180779
108.       163.        3.33307    0.151194
108.       165.        3.20197    0.114042
108.       167.        3.18966    0.0954598
108.       169.        3.01362    0.0790299
108.       171.        2.9329     0.0671174
108.       173.        2.78084    0.0566979
108.       175.        2.67602    0.0483712
108.       177.        2.59306    0.0419333
108.       179.        2.38162    0.0364747
108.       181.        2.28724    0.0332305
108.       183.        2.14257    0.0303709
108.       185.        1.9299     0.0276389
108.       187.        1.77995    0.0264863
108.       189.        1.60893    0.0255221
108.       191.        1.39301    0.0249001
108.       193.        1.24157    0.0254588
108.       195.        1.01259    0.0260274
108.       197.        0.873932   0.0286657
108.       199.        0.660859   0.0299426
108.       201.        0.566919   0.0366595
108.       203.        0.29426    0.0344724
108.       205.        0.147881   0.0358321
108.       207.        0.191527   0.0706168
109.       145.        2.16672    1.35119
109.       147.        0.853086   0.509421
109.       149.        4.01573    1.04504
109.       151.        2.55205    0.665775
109.       153.        3.43972    0.6113
109.       155.        3.02997    0.403793
109.       157.        3.91914    0.362743
109.       159.        3.54858    0.268995
109.       161.        3.68267    0.214751
109.       163.        3.19185    0.153337
109.       165.        3.40678    0.125981
109.       167.        3.3528     0.10264
109.       169.        3.29619    0.0874021
109.       171.        3.15293    0.0728878
109.       173.        2.91692    0.0606808
109.       175.        2.85219    0.0528302
109.       177.        2.74646    0.0458865
109.       179.        2.65036    0.0408058
109.       181.        2.47153    0.0359119
109.       183.        2.28859    0.0322252
109.       185.        2.18299    0.0301636
109.       187.        1.93491    0.0280099
109.       189.        1.76028    0.0268983
109.       191.        1.57639    0.0265935
109.       193.        1.31542    0.0261374
109.       195.        1.16078    0.0272154
109.       197.        0.967628   0.0290288
109.       199.        0.908473   0.0344206
109.       201.        0.594136   0.0345423
109.       203.        0.45988    0.040165
109.       205.        0.24218    0.0410197
109.       207.        0.165656   0.0513109
109.       209.        0.0959283  0.0556048
110.       147.        1.26724    0.66532
110.       149.        1.91386    0.705014
110.       151.        3.91365    0.872432
110.       153.        3.50895    0.622158
110.       155.        4.05952    0.534026
110.       157.        3.99481    0.408001
110.       159.        3.71094    0.292402
110.       161.        3.70506    0.227685
110.       163.        4.07962    0.189862
110.       165.        3.40762    0.136952
110.       167.        3.51173    0.114815
110.       169.        3.41126    0.0933403
110.       171.        3.22622    0.0766899
110.       173.        3.14069    0.066513
110.       175.        3.12225    0.0582073
110.       177.        2.89825    0.0502848
110.       179.        2.82163    0.0449464
110.       181.        2.6684     0.0394326
110.       183.        2.42295    0.0349865
110.       185.        2.2456     0.0318094
110.       187.        2.11929    0.0304211
110.       189.        1.96947    0.0291597
110.       191.        1.71208    0.0278476
110.       193.        1.54959    0.0283522
110.       195.        1.33054    0.0287341
110.       197.        1.11283    0.0301012
110.       199.        0.92384    0.0324974
110.       201.        0.72955    0.0357241
110.       203.        0.71393    0.0463907
110.       205.        0.372139   0.04509
110.       207.        0.103937   0.0338321
110.       209.        0.0860914  0.0386674
111.       145.        1.96554    1.20655
111.       147.        1.67797    0.886966
111.       149.        2.16146    1.03338
111.       151.        3.51403    0.804172
111.       153.        4.47009    0.759657
111.       155.        4.31959    0.564907
111.       157.        3.65143    0.388622
111.       159.        3.89716    0.325555
111.       161.        3.59766    0.232356
111.       163.        3.5045     0.184262
111.       165.        3.75173    0.156698
111.       167.        3.44207    0.123848
111.       169.        3.41209    0.0999375
111.       171.        3.30951    0.0821391
111.       173.        3.06525    0.0685765
111.       175.        3.1361     0.0611045
111.       177.        3.00154    0.0532292
