# Pre-equilibrium particle emission
# num energy points =  105
# Energy            xs (b)         prob
#  E (MeV)      xs_tot (b)               g               n               p               g               n               p
   18.3000   0.5855343E+00   0.0000000E+00   0.5735876E+00   0.1194666E-01   0.0000000E+00   0.2131292E+00   0.4439046E-02
   18.5000   0.5930987E+00   0.0000000E+00   0.5803927E+00   0.1270605E-01   0.0000000E+00   0.2154246E+00   0.4716112E-02
   18.7000   0.6005094E+00   0.0000000E+00   0.5870222E+00   0.1348720E-01   0.0000000E+00   0.2177022E+00   0.5001845E-02
   18.9000   0.6078334E+00   0.0000000E+00   0.5935423E+00   0.1429112E-01   0.0000000E+00   0.2199621E+00   0.5296176E-02
   19.1000   0.6150580E+00   0.0000000E+00   0.5999409E+00   0.1511709E-01   0.0000000E+00   0.2222043E+00   0.5599023E-02
   19.3000   0.6221712E+00   0.0000000E+00   0.6062068E+00   0.1596436E-01   0.0000000E+00   0.2244290E+00   0.5910302E-02
   19.5000   0.6291613E+00   0.0000000E+00   0.6123292E+00   0.1683208E-01   0.0000000E+00   0.2266364E+00   0.6229921E-02
   19.7000   0.6360174E+00   0.0000000E+00   0.6182980E+00   0.1771944E-01   0.0000000E+00   0.2288264E+00   0.6557803E-02
   19.9000   0.6428035E+00   0.0000000E+00   0.6241759E+00   0.1862767E-01   0.0000000E+00   0.2309993E+00   0.6893857E-02
   20.1000   0.6494982E+00   0.0000000E+00   0.6299425E+00   0.1955572E-01   0.0000000E+00   0.2331550E+00   0.7237984E-02
   20.3000   0.6560606E+00   0.0000000E+00   0.6355588E+00   0.2050179E-01   0.0000000E+00   0.2352936E+00   0.7590078E-02
   20.5000   0.6624825E+00   0.0000000E+00   0.6410176E+00   0.2146495E-01   0.0000000E+00   0.2374152E+00   0.7950027E-02
   20.7000   0.6687567E+00   0.0000000E+00   0.6463124E+00   0.2244423E-01   0.0000000E+00   0.2395200E+00   0.8317713E-02
   20.9000   0.6748768E+00   0.0000000E+00   0.6514382E+00   0.2343869E-01   0.0000000E+00   0.2416079E+00   0.8693029E-02
